Question,Answer
who is flo from progressive,"She is played by actress and comedian Stephanie Courtney , and has a fan base on social networks like Facebook ."
who is flo from progressive,Flo debuted in 2008 through television commercials and has since appeared in radio advertisements and web banners .
who is flo from progressive,"As of November 2010, she had appeared in 53 commercials."
when was james madison in the house of representatives,"In 1789, Madison became a leader in the new House of Representatives , drafting many basic laws."
What is and where is hydraulic fluid found and used for,Common hydraulic fluids are based on mineral oil or water.
Where Are Mahindra Tractors Made,"Mahindra has a huge consumer base in India, China and America and a growing base in Australia."
Where Are Mahindra Tractors Made,"The company builds more tractors in India than any other manufacturer, and has the capacity to build 150,000 tractors a year."
what is petit lemans,"The Petit Le Mans ( French for little Le Mans) is a sports car endurance race held annually at Road Atlanta in Braselton, Georgia , USA."
what is middle class in the us,The American middle class is a social class in the United States .
what is middle class in the us,"Depending on class model used, the middle class may constitute anywhere from 25% to 66% of households."
what is middle class in the us,"Constituting roughly 15% to 20% of households is the upper or professional middle class consisting of highly educated, salaried professionals and managers."
what is the scientific name of the eastern tiger salamander?,The tiger salamander (Ambystoma tigrinum) is a species of mole salamander .
what is considered to be a disasters,"A disaster is a natural or man-made (or technological) hazard resulting in an event of substantial extent causing significant physical damage or destruction, loss of life, or drastic change to the environment ."
What is firebird server,"Firebird is an open source SQL relational database management system that runs on Linux , Windows , and a variety of Unix ."
What is firebird server,"The database forked from Borland 's open source edition of InterBase in 2000, but since Firebird 1.5 the code has been largely rewritten."
What is caused by the human immunodeficiency virus?,"Human immunodeficiency virus (HIV) is a lentivirus (slowly replicating retrovirus ) that causes acquired immunodeficiency syndrome (AIDS), a condition in humans in which progressive failure of the immune system allows life-threatening opportunistic infections and cancers to thrive."
what was the steelworkers strike,"The Steel Strike of 1919 was an attempt by the weakened Amalgamated Association of Iron, Steel and Tin Workers (the AA) to organize the United States steel industry in the wake of World War I ."
When was the first Mary Poppins book written,"Throughout the Mary Poppins series, which lasted from 1934 to 1988, Mary Shepard was the illustrator and acted as a second author."
what is sims language,"Wright later commented that using ""nonsense language"" turned out to be the right development choice, as people were capable of imagining it more realistically than a computer could simulate a real one."
what is the function of the vas deferens?,"The vas deferens (plural: vasa deferentia), also called ductus deferens ( Latin : ""carrying-away vessel""; plural: ductus deferentes), is part of the male anatomy of many vertebrates ; they transport sperm from the epididymis in anticipation of ejaculation ."
What is Ischemia or infarction?,Vascular ischemia of the toes with characteristic cyanosis .
What is Ischemia or infarction?,"In medicine , ischemia, also spelled as ischaemia or ischÃ¦mia, (; from Greek language Î¹ÏƒÏ‡Î±Î¹Î¼Î¯Î±, ischaimÃ­a; isch- root denoting a restriction or thinning or to make or grow thin/lean, haema blood ) is a restriction in blood supply to tissues , causing a shortage of oxygen and glucose needed for cellular metabolism (to keep tissue alive)."
What is Ischemia or infarction?,"Ischemia is generally caused by problems with blood vessels , with resultant damage to or dysfunction of tissue."
where is humboldt ks,"Humboldt is a city situated along the Neosho River in the southwest part of Allen County , located in southeast Kansas , in the Central United States ."
what was nixon accused of,"The Watergate scandal was a political scandal that occurred in the United States in the 1970s as a result of the June 17, 1972 break-in at the Democratic National Committee headquarters at the Watergate office complex in Washington, D.C., and the Nixon administration's attempted cover-up of its involvement."
what was nixon accused of,"The scandal eventually led to the resignation of Richard Nixon , the President of the United States, on August 9, 1974 â€” the only resignation of a U.S. President."
who is elizabeth from general hospital who are the boys fathers,Elizabeth Imogene Webber (formerly Lansing and Spencer) is a fictional character on the ABC Daytime soap opera General Hospital .
